subject,trial,trial_uid,redundancy,unique_ecn,unique_dmn,synergy
sub-M87100058,153,sub-M87100058_win_153,0.4804819532577964,0.07840794844249466,0.0,1.183123427857085
sub-M87100481,0,sub-M87100481_win_0,0.42373292006934804,0.3511935677542848,0.0,1.1595544614484492
sub-M87100481,1,sub-M87100481_win_1,0.32348832439301134,0.3073182866961375,0.0,1.1916495891541503
sub-M87100481,2,sub-M87100481_win_2,0.3670990537783796,0.4653495655689097,0.0,0.9453428158615642
sub-M87100481,3,sub-M87100481_win_3,0.4752034624944077,0.3798760880602394,0.0,0.8919232752488098
sub-M87100481,4,sub-M87100481_win_4,0.27791290296240234,0.2828341890015267,0.0,1.122526808103089
sub-M87100481,5,sub-M87100481_win_5,0.48101665638484636,0.0,0.21153253243228676,1.1142306972731983
sub-M87100481,6,sub-M87100481_win_6,0.39560040567308086,0.02911744928407156,0.0,1.180204015473671
sub-M87100481,7,sub-M87100481_win_7,0.3665671090708722,0.0,0.15891881226188165,1.1703191658676468
sub-M87100481,8,sub-M87100481_win_8,0.33006202200861257,0.030521361829865867,0.0,1.2768556663748916
sub-M87100481,9,sub-M87100481_win_9,0.36866547053764886,0.0,0.08738941676524892,1.4492292165837481
sub-M87100481,10,sub-M87100481_win_10,0.4411104383531601,0.05434340348096356,0.0,1.1988102891727213
sub-M87100481,12,sub-M87100481_win_12,0.31630961897711085,0.22144634882938696,0.0,1.2446364277275448
sub-M87100481,13,sub-M87100481_win_13,0.56937468384168,0.5274016156223391,0.0,1.009258838203558
sub-M87100481,14,sub-M87100481_win_14,0.27850601228126504,0.0,0.1573637984705165,1.1855814494322372
sub-M87100481,15,sub-M87100481_win_15,0.2965687598626108,0.0,0.06056566969227095,1.2702514602717345
sub-M87100481,16,sub-M87100481_win_16,0.6208226834628015,0.0,0.16764030442958688,0.7726257512982695
sub-M87100481,17,sub-M87100481_win_17,0.4709202700336075,0.19990539263582185,0.0,1.1543916469791
sub-M87100481,18,sub-M87100481_win_18,0.5124896696919139,0.20222818526524033,0.0,0.9866662374892741
sub-M87100481,19,sub-M87100481_win_19,0.3329536212659594,0.059616935976840146,0.0,1.2796159995592875
sub-M87100481,20,sub-M87100481_win_20,0.8253610491719767,0.0,0.03030553950060977,0.9123559074714178
sub-M87100481,21,sub-M87100481_win_21,0.4011389175328741,0.2733826119418721,0.0,1.2345932182665598
sub-M87100481,22,sub-M87100481_win_22,0.4668735764327856,0.0,0.11105664666182857,1.0238621731535984
sub-M87100481,23,sub-M87100481_win_23,0.6346316713542537,0.2981338481167599,0.0,0.9511987823183095
