feature,g_ds003474,se_ds003474,p_ds003474,g_ds003478,se_ds003478,p_ds003478,g_MODMA,se_MODMA,p_MODMA,g_TDBRAIN,se_TDBRAIN,p_TDBRAIN,n_consistent,direction,n_sig_p05,n_sig_p10,g_pooled,se_pooled,p_pooled
dds_frontal_alpha2,0.13662914555076644,0.22766515444475893,0.6952985667826368,0.1161120995459521,0.22316104719997257,0.8229702809297685,0.01513896108674639,0.275955770803306,0.40599949252949397,-0.17327865447727658,0.1567003903452118,0.7426410266485669,3,MDD>,0,0,-0.02027670766202114,0.10356724908707907,0.844780009543171
dds_LH_phi1,-0.33399722216439864,0.22883455530912733,0.07388944818203447,0.27606949896897,0.22393199016990484,0.11536575806928323,-0.05620903178270268,0.2760058540484193,0.3763917393257582,-0.05711239363841126,0.15658040399415654,0.9410401838492757,3,CTL>,0,1,-0.04194814665710513,0.11699452648496288,0.7199332970718526
dds_RH_r2,0.12469977103576221,0.2276258024394116,0.6623326941346365,0.14259255449680852,0.22324536667037287,0.3776462548240811,0.0017584557883662808,0.2759519060610759,0.5028129549568505,-0.22922669996103076,0.15680127769920235,0.4432245137827021,3,MDD>,0,0,-0.043279598950002794,0.10360087785816716,0.6761275663818354
dds_LH_A2,-0.08095738856757857,0.2275122088269298,0.6952985667826368,-0.26539489271226924,0.22386106946886578,0.4914125419749631,0.023901914187782633,0.27596161857071017,0.6876529690409028,-0.1355203141817871,0.15664812893830973,0.16951106550884076,3,CTL>,0,0,-0.12955278024992525,0.10360771728730674,0.21114750711024222
dds_frontal_A2,-0.24327091565581138,0.22817593457081417,0.6754450614776373,-0.1854744819014298,0.22341842191254477,0.40564242301318376,0.10512335651247902,0.276140687422946,0.18312110697255024,-0.15482540714460813,0.15667325458789072,0.2667476797306967,3,CTL>,0,0,-0.1430501114544446,0.10364286665770836,0.16751846040309237
dds_frontal_r2,-0.19481318529923694,0.22790843312997683,0.5138908912577136,-0.023207061808010847,0.22300164824406243,0.8559643102540924,0.0964265460413569,0.2761107441077036,0.5375878579280278,-0.2666177656787105,0.15688428929893966,0.5870464981208394,3,CTL>,0,0,-0.14805448584862194,0.10363541699372888,0.15311665588207113
dds_frontal_A1,-0.2590588614580562,0.22827578971649476,0.7560753978187921,-0.21080093094918026,0.223541798050062,0.2971108962490807,0.11798581404626164,0.27618970327656917,0.2013902287008893,-0.18128309662684725,0.1567131085338536,0.24946087770419767,3,CTL>,0,0,-0.16150422527178213,0.10367866723271384,0.11929531016782113
dds_RH_A2,0.5406561584507337,0.23109321751625586,0.037121083796122195,-0.31076850705075504,0.2241816655536979,0.3641060059178973,0.32292168707048297,0.2777286156100615,0.3390889018746506,-0.021674257466460813,0.1565678814237649,0.41656248039778265,2,MDD>,1,1,0.11308990829608893,0.1797546175947217,0.5292607259479125
dds_frontal_phi2,0.07833918156382705,0.2275069410001921,0.7766966070066426,0.5535628582675876,0.2267387646040259,0.014184893108189857,-0.045431793877202954,0.2759871327386627,0.9359072573878965,-0.18971869638450625,0.15672713205999908,0.45105358954890507,2,MDD>,1,1,0.08487600786699873,0.1703382748086437,0.6182873135970046
dds_LH_phi2,0.26849708436349834,0.22833845976682932,0.21569667105445645,0.2764103760797776,0.22393430060907654,0.2193028440678243,-0.06549907357436963,0.27602517674850957,0.7817918239191244,-0.044411905341027486,0.15657462102282366,0.5223429864577058,2,MDD>,0,0,0.08588532339583126,0.10367472693810988,0.4074375651005093
